,job,city,counts,low_salary,high_salary,skills
12,data scientist,Trenton,92,70035.0,85047.5,"['python', 'analysis', 'design', 'r', 'statistic', 'sas', 'java', 'collaborate', 'sql', 'c']"
13,data scientist,Dallas,257,50685.0,100025.0,"['python', 'analysis', 'r', 'design', 'statistic', 'analytic', 'sql', 'test', 'hadoop', 'database']"
14,data scientist,Columbus,74,,,"['analysis', 'python', 'r', 'design', 'sql', 'statistic', 'collaborate', 'analytic', 'sas', 'test']"
15,data scientist,Austin,185,111757.95238095238,143213.7619047619,"['python', 'analysis', 'statistic', 'design', 'sql', 'r', 'analytic', 'database', 'spark', 'test']"
16,data scientist,Philadelphia,215,70000.0,80000.0,"['analysis', 'analytic', 'python', 'design', 'statistic', 'r', 'test', 'sql', 'collaborate', 'database']"
17,data scientist,Durham,145,41.0,63.0,"['python', 'analysis', 'design', 'sql', 'analytic', 'statistic', 'test', 'r', 'database', 'sas']"
18,data scientist,Raleigh,147,41.0,63.0,"['python', 'design', 'analysis', 'analytic', 'sql', 'statistic', 'test', 'r', 'sas', 'network']"
19,data scientist,Atlanta,257,70016.66666666667,100028.33333333333,"['analysis', 'python', 'statistic', 'r', 'design', 'analytic', 'sql', 'database', 'test', 'tableau']"
20,web developer,San Jose,1417,45017.5,69186.66666666667,"['javascript', 'design', 'framework', 'css', 'html', 'test', 'react', 'collaborate', 'network', 'java']"
21,web developer,San Francisco,1417,35868.333333333336,84570.83333333333,"['design', 'javascript', 'test', 'css', 'html', 'framework', 'collaborate', 'jquery', 'react', 'mobile']"
22,web developer,Seattle,1422,93128.75,123379.375,"['javascript', 'design', 'css', 'test', 'html', 'framework', 'react', 'c', 'collaborate', 'database']"
23,web developer,Washington,3433,92256.2,117581.8,"['design', 'javascript', 'css', 'html', 'test', 'security', 'framework', 'database', 'php', 'react']"
24,web developer,New York,1400,62661.2,86315.0,"['javascript', 'design', 'css', 'html', 'framework', 'test', 'react', 'jquery', 'mobile', 'git']"
25,web developer,Baltimore,880,72824.5,90508.5,"['design', 'javascript', 'html', 'css', 'test', 'jquery', 'framework', 'sql', 'database', 'php']"
26,web developer,Boulder,440,62786.0,98147.5,"['design', 'test', 'css', 'javascript', 'html', 'framework', 'react', 'mobile', 'c', 'collaborate']"
27,web developer,San Diego,384,80000.0,125833.33333333333,"['design', 'javascript', 'test', 'html', 'css', 'framework', 'react', 'mobile', 'database', 'api']"
28,web developer,Denver,597,43340.666666666664,53351.666666666664,"['design', 'javascript', 'test', 'css', 'html', 'framework', 'react', 'jquery', 'database', 'mobile']"
29,web developer,Huntsville,113,83000.0,103000.0,"['design', 'security', 'test', 'javascript', 'c', 'html', 'framework', 'sql', 'css', 'database']"
30,web developer,Colorado Springs,68,24966.5,42491.25,"['design', 'test', 'javascript', 'c', 'framework', 'security', 'html', 'database', 'analysis', 'sql']"
31,web developer,Houston,367,13114.333333333334,19483.666666666668,"['design', 'javascript', 'css', 'html', 'test', 'framework', 'php', 'database', 'jquery', 'git']"
32,web developer,Trenton,227,47758.125,59508.75,"['design', 'javascript', 'html', 'css', 'test', 'jquery', 'framework', 'c', 'sql', 'database']"
33,web developer,Dallas,778,40936.57142857143,52995.5,"['design', 'javascript', 'css', 'html', 'test', 'framework', 'mobile', 'react', 'database', 'c']"
34,web developer,Columbus,224,51786.0,61742.75,"['design', 'javascript', 'css', 'framework', 'test', 'html', 'database', 'sql', 'mobile', 'jquery']"
35,web developer,Austin,652,34090.4,43669.36,"['design', 'javascript', 'test', 'css', 'framework', 'c', 'html', 'react', 'jquery', 'git']"
36,web developer,Philadelphia,533,63756.25,86259.375,"['design', 'javascript', 'css', 'html', 'test', 'framework', 'database', 'mobile', 'php', 'analysis']"
37,web developer,Durham,377,54619.0,71775.8,"['design', 'css', 'html', 'javascript', 'test', 'database', 'framework', 'collaborate', 'security', 'php']"
38,web developer,Raleigh,360,43581.857142857145,50730.71428571428,"['design', 'javascript', 'html', 'css', 'test', 'framework', 'collaborate', 'react', 'database', 'git']"
39,web developer,Atlanta,618,27165.428571428572,38599.0,"['design', 'javascript', 'css', 'html', 'test', 'framework', 'php', 'mobile', 'sql', 'jquery']"
40,ux designer,San Jose,634,60020.0,100030.0,"['design', 'visual', 'prototype', 'test', 'mobile', 'collaborate', 'usability', 'html', 'mockup', 'photoshop']"
41,ux designer,San Francisco,874,140000.0,150000.0,"['design', 'prototype', 'visual', 'mobile', 'test', 'collaborate', 'usability', 'mockup', 'html', 'css']"
42,ux designer,Seattle,952,,,"['design', 'prototype', 'visual', 'mobile', 'usability', 'collaborate', 'test', 'analysis', 'mockup', 'photoshop']"
43,ux designer,Washington,522,85627.5,105855.5,"['design', 'visual', 'prototype', 'test', 'collaborate', 'usability', 'html', 'mobile', 'css', 'illustrator']"
44,ux designer,New York,875,58768.75,73772.5,"['design', 'prototype', 'test', 'visual', 'collaborate', 'usability', 'mobile', 'mockup', 'illustrator', 'analysis']"
45,ux designer,Baltimore,89,80000.0,85000.0,"['design', 'prototype', 'collaborate', 'test', 'html', 'usability', 'css', 'framework', 'mobile', 'analysis']"
46,ux designer,Boulder,132,43652.0,52821.25,"['design', 'prototype', 'test', 'collaborate', 'visual', 'mobile', 'html', 'css', 'javascript', 'usability']"
47,ux designer,San Diego,107,47000.0,71666.66666666667,"['design', 'collaborate', 'visual', 'test', 'prototype', 'mobile', 'css', 'usability', 'html', 'javascript']"
48,ux designer,Denver,147,55008.333333333336,66678.33333333333,"['design', 'test', 'collaborate', 'prototype', 'mobile', 'visual', 'analysis', 'usability', 'network', 'mockup']"
49,ux designer,Huntsville,0,,,[]
50,ux designer,Colorado Springs,6,,,"['metric', 'prototype', 'visual', 'empathy', 'collaborate', 'mockup', 'illustrator', 'design']"
51,ux designer,Houston,82,28000.0,42000.0,"['design', 'collaborate', 'mobile', 'test', 'prototype', 'visual', 'html', 'photoshop', 'javascript', 'css']"
52,ux designer,Trenton,41,65000.0,82500.0,"['design', 'visual', 'prototype', 'collaborate', 'html', 'javascript', 'test', 'illustrator', 'css', 'mobile']"
53,ux designer,Dallas,177,55016.666666666664,82685.0,"['design', 'prototype', 'test', 'collaborate', 'visual', 'mobile', 'usability', 'mockup', 'framework', 'analysis']"
54,ux designer,Columbus,47,40000.0,45000.0,"['design', 'test', 'prototype', 'visual', 'mobile', 'collaborate', 'usability', 'analysis', 'metric', 'mockup']"
55,ux designer,Austin,274,97941.17647058824,125852.94117647059,"['design', 'prototype', 'test', 'collaborate', 'visual', 'mobile', 'usability', 'analysis', 'mockup', 'html']"
56,ux designer,Philadelphia,145,67500.0,90000.0,"['design', 'prototype', 'collaborate', 'test', 'mobile', 'visual', 'analysis', 'css', 'html', 'usability']"
57,ux designer,Durham,81,48250.0,63500.0,"['design', 'visual', 'test', 'collaborate', 'prototype', 'mobile', 'css', 'usability', 'mockup', 'analysis']"
58,ux designer,Raleigh,81,63250.0,76000.0,"['design', 'visual', 'prototype', 'collaborate', 'test', 'css', 'html', 'mobile', 'javascript', 'mockup']"
59,ux designer,Atlanta,248,55000.0,70000.0,"['design', 'collaborate', 'prototype', 'visual', 'usability', 'mobile', 'test', 'photoshop', 'illustrator', 'css']"
60,ios developer,San Jose,757,83750.0,121250.0,"['design', 'mobile', 'test', 'swift', 'c', 'framework', 'xcode', 'collaborate', 'network', 'analytic']"
61,ios developer,San Francisco,463,83345.0,120021.66666666667,"['mobile', 'design', 'swift', 'test', 'collaborate', 'framework', 'c', 'git', 'java', 'network']"
62,ios developer,Seattle,482,80413.0,101941.0,"['mobile', 'design', 'java', 'c', 'test', 'framework', 'network', 'collaborate', 'swift', 'javascript']"
63,ios developer,Washington,351,127500.0,137500.0,"['design', 'mobile', 'test', 'framework', 'java', 'javascript', 'swift', 'database', 'collaborate', 'c']"
64,ios developer,New York,315,65000.0,97142.85714285714,"['design', 'mobile', 'test', 'swift', 'collaborate', 'framework', 'javascript', 'git', 'java', 'css']"
65,ios developer,Baltimore,83,130000.0,180000.0,"['mobile', 'design', 'c', 'test', 'security', 'java', 'framework', 'python', 'database', 'linux']"
66,ios developer,Boulder,107,40019.0,46691.666666666664,"['design', 'mobile', 'test', 'collaborate', 'framework', 'java', 'c', 'javascript', 'swift', 'git']"
67,ios developer,San Diego,90,59000.0,90600.0,"['design', 'mobile', 'test', 'c', 'javascript', 'java', 'framework', 'swift', 'collaborate', 'prototype']"
68,ios developer,Denver,132,46261.25,68763.75,"['design', 'mobile', 'test', 'javascript', 'java', 'git', 'c', 'collaborate', 'framework', 'swift']"
69,ios developer,Huntsville,15,,,"['azure', 'test', 'opengl', 'javascript', 'node', 'python', 'nosql', 'git', 'sql', 'mobile']"
70,ios developer,Colorado Springs,0,,,[]
71,ios developer,Houston,53,70000.0,130000.0,"['design', 'mobile', 'test', 'c', 'sql', 'database', 'swift', 'security', 'xcode', 'api']"
72,ios developer,Trenton,24,3666.6666666666665,5666.666666666667,"['test', 'mobile', 'design', 'c', 'framework', 'database', 'collaborate', 'java', 'git', 'api']"
73,ios developer,Dallas,153,73758.75,83761.25,"['design', 'mobile', 'test', 'java', 'swift', 'c', 'framework', 'javascript', 'database', 'python']"
74,ios developer,Columbus,28,,,"['mobile', 'design', 'c', 'framework', 'api', 'java', 'test', 'swift', 'javascript', 'css']"
75,ios developer,Austin,174,40.0,50.0,"['design', 'mobile', 'test', 'swift', 'collaborate', 'framework', 'c', 'javascript', 'java', 'git']"
76,ios developer,Philadelphia,87,55033.333333333336,68400.0,"['mobile', 'design', 'test', 'framework', 'collaborate', 'c', 'network', 'security', 'javascript', 'sql']"
77,ios developer,Durham,48,45040.0,55041.0,"['mobile', 'design', 'test', 'framework', 'swift', 'c', 'network', 'javascript', 'react', 'prototype']"
78,ios developer,Raleigh,47,45040.0,55041.0,"['design', 'mobile', 'c', 'javascript', 'swift', 'test', 'framework', 'java', 'react', 'security']"
79,ios developer,Atlanta,135,73.33333333333333,80.0,"['design', 'mobile', 'test', 'java', 'swift', 'javascript', 'framework', 'c', 'security', 'xcode']"
